OID_,FID_BLM_AK,OBJECTID,AGENCY_NAM,ADMIN_AGEN,ADMIN_UNIT,ADMIN_UN_1,ADMIN_DEPT,ADMIN_DE_1,ADMIN_ST,Date_Proce,Shape_Leng,Shape_Area,FID_19a_wc,FID_Subuni,Region,UnitSub,SubLabel,SubLetter,Shape_Le_1,Shape_Ar_1,SqMi,FID_19Awca,Id,sqMi_1,Name,sqMi_calc
1163,361547,361548,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,3129.118896559999939,440174.069998999999370,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.037869891802200
1164,361549,361550,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1419.343561850000015,109409.935001000005286,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.009407841535430
1165,361550,361551,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2541.433574130000125,218234.785000000003492,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.018750532009100
1166,361551,361552,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1321.493112789999941,93992.575000299999374,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.008072473098960
1167,361552,361553,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,588.323464618007733,15766.210000099999888,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.001353616717650
1168,361553,361554,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,511.500218230187954,10569.075000099999670,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.000905710794053
1169,361554,361555,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2498.271252009999898,237986.290000000008149,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.020382249403300
1170,361555,361556,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,972.257571177176942,28506.035000200001377,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.002442582289480
1171,361556,361557,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2152.952716069999951,198444.495001000002958,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.016995570067600
1172,361557,361558,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,10990.324749999999767,3193073.160000000149012,0,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,-1,0,0.0000000,19A Outside Prop WCA,0.274649960525000
